Dates,Crashes
2018-11-10,609
2018-11-11,528
2018-11-12,474
2018-11-13,707
2018-11-14,553
2018-11-15,794
2018-11-16,648
2018-11-17,770
2018-11-18,521
2018-11-19,643
2018-11-20,659
2018-11-21,532
2018-11-22,367
2018-11-23,489
2018-11-24,526
2018-11-25,469
2018-11-26,800
2018-11-27,737
2018-11-28,651
2018-11-29,629
2018-11-30,845
2018-12-01,704
2018-12-02,591
2018-12-03,645
2018-12-04,560
2018-12-05,638
2018-12-06,636
2018-12-07,781
2018-12-08,660
2018-12-09,520
2018-12-10,667
2018-12-11,719
2018-12-12,669
2018-12-13,828
2018-12-14,835
2018-12-15,663
2018-12-16,736
2018-12-17,660
2018-12-18,701
2018-12-19,625
2018-12-20,680
2018-12-21,766
2018-12-22,625
2018-12-23,528
2018-12-24,492
2018-12-25,310
2018-12-26,490
2018-12-27,610
2018-12-28,569
2018-12-29,822
2018-12-30,534
2018-12-31,756
